timestamp,src_ip,dst_ip,ip_version,header_length,tos,total_length,identification,ttl,protocol,checksum,ip_flags,fragment_offset,src_port,dst_port,seq,ack,data_offset,reserved,tcp_flags,window,urgent_pointer,src_bytes,dst_bytes,length
7701.345066,192.168.1.3,192.168.1.90,4.0,5.0,72.0,176.0,23176.0,64.0,6.0,33872.0,DF,0.0,22.0,40854.0,1509083010.0,1870143921.0,8.0,0.0,PA,501.0,0.0,124.0,0.0,
7701.348454,192.168.1.90,192.168.1.3,4.0,5.0,16.0,52.0,50523.0,64.0,6.0,12364.0,DF,0.0,40854.0,22.0,1870143921.0,1509083134.0,8.0,0.0,A,502.0,0.0,0.0,0.0,
7701.441901,192.168.1.70,192.168.1.3,4.0,5.0,0.0,60.0,5475.0,64.0,6.0,30034.0,DF,0.0,52544.0,64738.0,1315242554.0,0.0,10.0,0.0,S,65280.0,0.0,0.0,0.0,
7701.442087,192.168.1.3,192.168.1.70,4.0,5.0,0.0,60.0,0.0,64.0,6.0,33736.0,DF,0.0,64738.0,52544.0,2996582914.0,1315242555.0,10.0,0.0,SA,64704.0,0.0,0.0,0.0,
7701.444193,192.168.1.70,192.168.1.3,4.0,5.0,0.0,52.0,5476.0,64.0,6.0,5321.0,DF,0.0,52544.0,64738.0,1315242555.0,2996582915.0,8.0,0.0,A,510.0,0.0,0.0,0.0,
7701.445867,192.168.1.70,192.168.1.3,4.0,5.0,0.0,569.0,5477.0,64.0,6.0,34228.0,DF,0.0,52544.0,64738.0,1315242555.0,2996582915.0,8.0,0.0,PA,510.0,0.0,517.0,0.0,
7701.445968,192.168.1.3,192.168.1.70,4.0,5.0,0.0,52.0,44460.0,64.0,6.0,33728.0,DF,0.0,64738.0,52544.0,2996582915.0,1315243072.0,8.0,0.0,A,502.0,0.0,0.0,0.0,
7701.446440,192.168.1.3,192.168.1.70,4.0,5.0,0.0,151.0,44461.0,64.0,6.0,33827.0,DF,0.0,64738.0,52544.0,2996582915.0,1315243072.0,8.0,0.0,PA,502.0,0.0,99.0,0.0,
7701.448729,192.168.1.70,192.168.1.3,4.0,5.0,0.0,52.0,5478.0,64.0,6.0,4696.0,DF,0.0,52544.0,64738.0,1315243072.0,2996583014.0,8.0,0.0,A,510.0,0.0,0.0,0.0,
7701.449796,192.168.1.70,192.168.1.3,4.0,5.0,0.0,575.0,5479.0,64.0,6.0,65442.0,DF,0.0,52544.0,64738.0,1315243072.0,2996583014.0,8.0,0.0,PA,510.0,0.0,523.0,0.0,
7701.449878,192.168.1.3,192.168.1.70,4.0,5.0,0.0,52.0,44462.0,64.0,6.0,33728.0,DF,0.0,64738.0,52544.0,2996583014.0,1315243595.0,8.0,0.0,A,502.0,0.0,0.0,0.0,
7701.449827,192.168.1.90,192.168.1.3,4.0,5.0,0.0,60.0,19796.0,64.0,6.0,27752.0,DF,0.0,37976.0,64738.0,3416540200.0,0.0,10.0,0.0,S,65280.0,0.0,0.0,0.0,
7701.450035,192.168.1.3,192.168.1.90,4.0,5.0,0.0,60.0,0.0,64.0,6.0,33756.0,DF,0.0,64738.0,37976.0,2469713071.0,3416540201.0,10.0,0.0,SA,64704.0,0.0,0.0,0.0,
7701.452213,192.168.1.90,192.168.1.3,4.0,5.0,0.0,52.0,19797.0,64.0,6.0,31050.0,DF,0.0,37976.0,64738.0,3416540201.0,2469713072.0,8.0,0.0,A,510.0,0.0,0.0,0.0,
7701.452250,192.168.1.90,192.168.1.3,4.0,5.0,0.0,569.0,19798.0,64.0,6.0,43807.0,DF,0.0,37976.0,64738.0,3416540201.0,2469713072.0,8.0,0.0,PA,510.0,0.0,517.0,0.0,
7701.452416,192.168.1.3,192.168.1.90,4.0,5.0,0.0,52.0,17287.0,64.0,6.0,33748.0,DF,0.0,64738.0,37976.0,2469713072.0,3416540718.0,8.0,0.0,A,502.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
7701.463377,192.168.1.3,192.168.1.70,4.0,5.0,0.0,1400.0,44463.0,64.0,6.0,35076.0,DF,0.0,64738.0,52544.0,2996583014.0,1315243595.0,8.0,0.0,A,502.0,0.0,1348.0,0.0,
7701.463435,192.168.1.3,192.168.1.70,4.0,5.0,0.0,206.0,44464.0,64.0,6.0,33882.0,DF,0.0,64738.0,52544.0,2996584362.0,1315243595.0,8.0,0.0,PA,502.0,0.0,154.0,0.0,
7701.463921,192.168.1.3,192.168.1.90,4.0,5.0,0.0,151.0,17288.0,64.0,6.0,33847.0,DF,0.0,64738.0,37976.0,2469713072.0,3416540718.0,8.0,0.0,PA,502.0,0.0,99.0,0.0,
7701.480056,192.168.1.3,192.168.1.70,4.0,5.0,0.0,206.0,44465.0,64.0,6.0,33882.0,DF,0.0,64738.0,52544.0,2996584362.0,1315243595.0,8.0,0.0,PA,502.0,0.0,154.0,0.0,
